0	131	60
3	148	80
6	159	72
9	211	109
12	264	133
15	310	156
18	369	185
21	436	240
24	448	226
27	449	223
30	449	200
33	451	239
36	137	66
39	137	72
42	144	73
45	153	79
48	160	80
51	168	85
54	172	83
57	179	93
60	187	95
63	196	90
66	135	61
69	140	70
72	144	74
75	154	77
78	156	86
81	166	80
84	169	72
87	175	101
90	180	94
93	182	97
96	130	61
99	137	71
102	143	66
105	151	74
108	156	81
111	160	76
114	163	81
117	164	86
120	174	78
123	183	92
126	136	64
129	136	79
132	140	69
135	153	83
138	157	78
141	165	74
144	172	83
147	181	102
150	185	82
153	192	93
156	127	71
159	135	66
162	141	74
165	145	80
168	151	83
171	153	89
174	158	82
177	163	77
