0	118	69
3	123	57
6	122	69
9	125	55
12	125	57
15	127	64
18	127	59
21	129	65
24	131	69
27	135	66
30	137	71
33	138	81
36	142	79
39	126	68
42	126	65
45	125	66
48	126	65
51	128	73
54	130	54
57	130	72
60	132	66
63	128	66
66	127	74
69	126	76
72	128	68
75	130	65
78	130	66
81	128	66
84	129	70
87	133	64
90	135	56
93	135	56
96	133	66
99	125	63
102	124	65
105	125	64
108	125	71
111	125	55
114	125	66
117	125	62
120	126	62
123	126	64
126	126	64
129	121	60
132	122	66
135	122	60
138	122	69
141	123	60
144	123	60
147	123	62
150	123	54
153	123	53
156	123	61
159	123	68
162	123	65
165	123	70
168	123	73
171	123	66
174	124	56
177	124	63
180	123	58
183	125	66
186	125	63
189	122	54
192	122	59
195	122	59
198	122	63
201	122	58
204	123	66
207	123	67
210	126	66
213	126	66
216	126	67
219	121	56
222	121	65
225	121	64
228	121	61
231	122	59
234	122	56
237	122	60
240	122	67
243	124	63
246	126	70
249	120	59
252	120	58
255	121	65
258	122	64
261	123	69
264	122	63
267	123	61
270	123	62
273	123	57
276	123	70
279	119	56
282	119	55
285	120	57
288	120	60
291	120	61
294	120	69
297	121	55
300	121	58
303	121	64
306	120	58
309	119	57
312	119	56
315	118	57
318	118	59
321	118	66
324	118	62
327	118	56
330	118	62
333	118	64
336	118	65
339	118	60
342	118	63
345	119	66
348	120	62
351	122	56
354	121	57
357	123	68
360	124	53
363	124	55
366	123	61
369	119	61
372	120	55
375	121	75
378	121	65
381	121	62
384	121	62
387	120	63
390	120	59
393	119	57
396	119	62
399	116	65
402	117	58
405	118	47
408	119	60
411	120	54
414	122	60
417	124	67
420	125	62
423	122	62
426	122	58
429	121	62
432	122	61
435	122	67
438	124	57
441	123	61
444	122	65
447	123	64
450	122	71
453	124	64
456	127	63
459	127	69
462	125	56
465	123	65
468	123	51
471	121	56
474	121	61
477	121	58
480	121	60
483	121	60
486	121	64
489	118	58
492	118	59
495	117	60
498	116	59
501	116	59
504	116	59
507	116	56
510	116	54
513	116	53
516	116	64
519	115	54
522	115	57
525	115	59
528	115	60
531	116	62
534	116	60
537	116	59
540	116	55
543	116	50
546	116	58
549	115	61
552	115	54
555	115	51
558	115	51
561	115	56
564	115	59
567	115	56
570	115	68
573	116	52
576	117	62
579	116	56
582	116	56
585	116	62
588	116	46
591	116	57
594	116	58
597	116	63
600	116	51
603	116	59
606	116	64
609	117	60
612	117	56
615	117	54
618	118	59
621	118	60
624	118	59
627	118	59
630	118	59
633	118	62
636	118	61
639	116	59
642	115	60
645	115	65
648	115	56
651	115	67
654	115	56
657	115	48
660	115	62
663	115	57
666	115	54
669	115	64
672	115	65
675	115	56
678	116	59
681	117	62
684	117	69
687	117	62
690	117	56
693	116	50
696	117	55
699	115	58
702	115	53
705	115	57
708	115	60
711	115	56
714	115	59
717	115	48
720	115	45
723	115	51
726	115	49
729	114	54
732	114	52
735	113	54
738	112	54
741	113	57
744	113	61
747	112	65
750	113	53
753	113	56
756	112	59
759	113	66
762	113	62
765	113	53
768	113	63
771	113	63
774	113	53
777	113	57
780	113	58
783	113	52
786	113	51
789	114	58
792	114	57
795	114	59
798	114	53
801	114	66
804	114	55
807	114	59
810	113	51
813	113	59
816	113	52
819	114	54
822	114	58
825	114	57
828	113	55
831	113	57
834	113	57
837	113	55
840	113	63
843	113	57
846	113	52
849	112	57
852	112	67
855	112	52
858	112	51
861	112	53
864	112	56
867	112	52
870	112	59
873	112	54
876	112	58
879	113	61
882	113	53
885	113	62
888	113	50
891	112	45
894	113	51
897	113	58
