0	131	55
3	148	85
6	159	104
9	211	115
12	264	139
15	310	157
18	369	177
21	436	216
24	448	212
27	449	220
30	449	211
33	451	220
36	137	92
39	137	84
42	144	88
45	153	86
48	160	91
51	168	74
54	172	100
57	179	87
60	187	113
63	196	105
66	135	83
69	140	77
72	144	77
75	154	82
78	156	96
81	166	100
84	169	96
87	175	100
90	180	104
93	182	102
96	130	83
99	137	78
102	143	89
105	151	89
108	156	85
111	160	84
114	163	90
117	164	87
120	174	88
123	183	100
126	136	79
129	136	78
132	140	71
135	153	96
138	157	79
141	165	89
144	172	106
147	181	90
150	185	96
153	192	95
156	127	77
159	135	81
162	141	69
165	145	89
168	151	83
171	153	91
174	158	87
177	163	94
