,,
0,118,16
3,122,11
6,122,7
9,122,18
12,123,29
15,125,25
18,126,18
21,129,25
24,131,28
27,129,30
30,130,26
33,129,31
36,131,37
39,130,34
42,132,37
45,133,35
48,133,36
51,135,48
54,135,40
57,137,43
60,139,43
63,139,40
66,125,32
69,125,17
72,125,18
75,125,15
78,125,16
81,125,21
84,125,22
87,125,21
90,125,20
93,125,15
96,125,13
99,125,20
102,125,19
105,125,14
108,125,23
111,125,16
114,125,19
117,125,17
120,125,18
123,124,21
126,123,17
129,124,15
132,124,18
135,125,18
138,125,17
141,125,18
144,125,16
147,124,19
150,124,16
153,123,23
156,123,18
159,122,17
162,124,18
165,124,21
168,125,17
171,125,23
174,125,20
177,125,20
180,126,25
183,125,21
186,121,16
189,121,17
192,120,20
195,121,17
198,122,20
201,122,14
204,123,19
207,123,19
210,123,20
213,123,17
216,123,17
219,123,13
222,124,23
225,124,22
228,124,21
231,124,20
234,124,21
237,124,13
240,125,17
243,125,21
246,123,18
249,123,17
252,122,13
255,122,21
258,123,17
261,123,17
264,124,20
267,124,17
270,124,22
273,124,21
276,124,9
279,124,24
282,126,19
285,126,19
288,125,16
291,125,18
294,125,24
297,125,14
300,125,17
303,125,19
306,123,23
309,123,8
312,123,13
315,123,16
318,123,15
321,123,17
324,123,14
327,123,13
330,123,13
333,124,17
336,124,19
339,124,21
342,123,22
345,123,16
348,123,16
351,123,20
354,123,21
357,123,22
360,123,15
363,124,22
366,122,20
369,122,17
372,122,18
375,122,20
378,122,17
381,122,13
384,122,13
387,122,20
390,123,18
393,123,18
396,123,19
399,123,19
402,124,15
405,124,19
408,124,21
411,124,17
414,124,19
417,124,19
420,124,19
423,124,22
426,121,14
429,121,17
432,121,15
435,121,14
438,121,17
441,121,16
444,121,14
447,121,12
450,121,16
453,121,16
456,121,14
459,121,17
462,121,19
465,121,23
468,121,14
471,121,19
474,122,21
477,122,22
480,122,16
483,123,17
486,121,19
489,121,14
492,121,12
495,120,21
498,120,14
501,120,24
504,120,10
507,121,12
510,121,18
513,120,23
516,120,22
519,120,16
522,120,19
525,120,17
528,121,24
531,121,18
534,120,20
537,121,15
540,121,18
543,121,22
546,119,22
549,119,16
552,119,20
555,119,17
558,120,13
561,120,17
564,120,15
567,120,18
570,120,21
573,120,15
576,120,16
579,120,15
582,120,22
585,120,15
588,120,13
591,121,18
594,121,22
597,121,16
600,121,21
603,121,14
606,119,17
609,119,12
612,119,9
615,118,11
618,118,15
621,118,17
624,118,20
627,118,10
630,118,15
633,118,15
636,118,18
639,118,14
642,118,16
645,118,11
648,119,17
651,119,13
654,119,20
657,120,16
660,120,15
663,120,20
666,118,15
669,118,16
672,118,16
675,119,20
678,119,16
681,119,8
684,119,15
687,119,15
690,119,20
693,120,23
696,119,16
699,120,16
702,120,12
705,120,13
708,120,12
711,120,15
714,120,15
717,120,15
720,120,13
723,121,14
726,118,20
729,118,15
732,118,13
735,118,16
738,119,19
741,119,14
744,119,22
747,119,15
750,119,12
753,119,12
756,119,12
759,119,12
762,119,7
765,119,21
768,118,20
771,118,17
774,117,19
777,117,22
780,117,23
783,118,16
786,115,16
789,115,18
792,115,11
795,115,24
798,115,16
801,116,15
804,116,24
807,116,21
810,116,14
813,116,16
816,116,12
819,116,21
822,116,11
825,118,14
828,117,14
831,117,19
834,118,14
837,119,16
840,119,15
843,121,23
846,119,19
849,119,13
852,119,11
855,119,12
858,119,13
861,119,13
864,119,16
867,120,9
870,119,13
873,119,12
